Date,Rainfall
31/12/2020, 0
2/1/2021, 2
3/1/2021, 0
4/1/2021, 0
5/1/2021, 0
6/1/2021, 0
7/1/2021, 0
8/1/2021, 1
9/1/2021, 0
10/1/2021, 0
11/1/2021, 3
12/1/2021, 4
13/1/2021, 6
14/1/2021, 4
15/1/2021, 8
16/1/2021, 2
17/1/2021, 0
18/1/2021, 2
19/1/2021, 4
20/1/2021, 13
21/1/2021, 0
22/1/2021, 0
23/1/2021, 1
24/1/2021, 1
25/1/2021, 0
26/1/2021, 4
27/1/2021, 9
28/1/2021, 6
29/1/2021, 9
30/1/2021, 3
31/1/2021, 4
1/2/2021, 4
2/2/2021, 1
3/2/2021, 1
4/2/2021, 8
5/2/2021, 5
6/2/2021, 0
7/2/2021, 0
8/2/2021, 0
9/2/2021, 1
10/2/2021, 0
11/2/2021, 0
12/2/2021, 0
13/2/2021, 1
14/2/2021, 10
15/2/2021, 2
16/2/2021, 4
17/2/2021, 4
18/2/2021, 4
19/2/2021, 6
20/2/2021, 4
21/2/2021, 4
22/2/2021, 2
23/2/2021, 0
24/2/2021, 1
25/2/2021, 0
26/2/2021, 0
27/2/2021, 0
28/2/2021, 0
1/3/2021, 0
2/3/2021, 0
3/3/2021, 7
4/3/2021, 0
5/3/2021, 0
6/3/2021, 0
7/3/2021, 0
8/3/2021, 0
9/3/2021, 3
10/3/2021, 5
11/3/2021, 5
12/3/2021, 6
13/3/2021, 2
14/3/2021, 2
15/3/2021, 0
16/3/2021, 1
17/3/2021, 0
18/3/2021, 0
19/3/2021, 0
20/3/2021, 0
21/3/2021, 0
22/3/2021, 0
24/3/2021, 0
25/3/2021, 0
26/3/2021, 6
27/3/2021, 0
28/3/2021, 0
29/3/2021, 0
30/3/2021, 0
31/3/2021, 0
1/4/2021, 0
2/4/2021, 0
3/4/2021, 0
5/4/2021, 0
6/4/2021, 1
7/4/2021, 0
8/4/2021, 0
9/4/2021, 0
10/4/2021, 2
11/4/2021, 1
12/4/2021, 2
13/4/2021, 0
14/4/2021, 0
15/4/2021, 0
16/4/2021, 0
17/4/2021, 0
19/4/2021, 0
20/4/2021, 0
21/4/2021, 0
22/4/2021, 0
23/4/2021, 0
24/4/2021, 0
25/4/2021, 0
26/4/2021, 0
27/4/2021, 9
28/4/2021, 1
29/4/2021, 0
30/4/2021, 2
1/5/2021, 1
2/5/2021, 0
3/5/2021, 2
4/5/2021, 2
5/5/2021, 0
6/5/2021, 0
7/5/2021, 6
8/5/2021, 3
9/5/2021, 2
10/5/2021, 2
11/5/2021, 2
12/5/2021, 15
13/5/2021, 7
14/5/2021, 2
15/5/2021, 5
16/5/2021, 15
17/5/2021, 1
18/5/2021, 10
19/5/2021, 1
20/5/2021, 2
21/5/2021, 4
22/5/2021, 0
23/5/2021, 10
24/5/2021, 7
25/5/2021, 5
26/5/2021, 0
27/5/2021, 0
28/5/2021, 0
29/5/2021, 0
30/5/2021, 0
31/5/2021, 0
1/6/2021, 0
2/6/2021, 0
3/6/2021, 0
4/6/2021, 
5/6/2021, 1
6/6/2021, 0
7/6/2021, 0
8/6/2021, 0
9/6/2021, 0
10/6/2021, 0
11/6/2021, 0
12/6/2021, 0
13/6/2021, 0
14/6/2021, 0
15/6/2021, 0
16/6/2021, 2
17/6/2021, 0
18/6/2021, 1
19/6/2021, 14
20/6/2021, 1
21/6/2021, 8
22/6/2021, 2
23/6/2021, 0
24/6/2021, 4
25/6/2021, 0
26/6/2021, 1
27/6/2021, 13
28/6/2021, 2
29/6/2021, 0
30/6/2021, 0
1/7/2021, 0
2/7/2021, 3
3/7/2021, 6
4/7/2021, 13
5/7/2021, 5
6/7/2021, 6
7/7/2021, 2
8/7/2021, 0
9/7/2021, 4
10/7/2021, 5
11/7/2021, 15
12/7/2021, 1
13/7/2021, 0
14/7/2021, 0
14/7/2021, 
15/7/2021, 0
16/7/2021, 0
17/7/2021, 0
18/7/2021, 0
19/7/2021, 0
20/7/2021, 0
21/7/2021, 0
23/7/2021, 6
24/7/2021, 4
25/7/2021, 1
26/7/2021, 15
27/7/2021, 3
28/7/2021, 4
30/7/2021, 6
31/7/2021, 4
1/8/2021, 4
2/8/2021, 4
3/8/2021, 0
4/8/2021, 0
5/8/2021, 2
6/8/2021, 11
7/8/2021, 4
12/8/2021, 0
13/8/2021, 0
14/8/2021, 0
15/8/2021, 2
16/8/2021, 0
19/8/2021, 3
20/8/2021, 1
21/8/2021, 1
22/8/2021, 0
23/8/2021, 0
24/8/2021, 0
25/8/2021, 0
26/8/2021, 0
27/08/2021,0
28/08/2021,0
29/08/2021,0
30/08/2021,0
31/08/2021,0
01/09/2021,0
02/09/2021,0
03/09/2021,0
04/09/2021,0
05/09/2021,0
06/09/2021,0
07/09/2021,0
08/09/2021,0
09/09/2021,6
10/09/2021,2
11/09/2021,0
12/09/2021,0
13/09/2021,7
14/09/2021,1
15/09/2021,0
17/09/2021,0
18/09/2021,0
19/09/2021,0
20/09/2021,0
21/09/2021,0
22/09/2021,0
23/09/2021,1
24/09/2021,1
25/09/2021,1
26/09/2021,9
27/09/2021,2
28/09/2021,16
29/09/2021,1
30/09/2021,3
01/10/2021,0
02/10/2021,15
03/10/2021,2
04/10/2021,14
05/10/2021,1
06/10/2021,0
07/10/2021,0
08/10/2021,0
09/10/2021,0
10/10/2021,0
11/10/2021,0
12/10/2021,0
13/10/2021,0
14/10/2021,0
15/10/2021,0
16/10/2021,0
17/10/2021,0
18/10/2021,2
19/10/2021,23
20/10/2021,19
21/10/2021,0
22/10/2021,0
23/10/2021,0
24/10/2021,1
25/10/2021,0
26/10/2021,0
27/10/2021,0
28/10/2021,6
29/10/2021,7
30/10/2021,4
31/10/2021,16
01/11/2021,0
02/11/2021,0
03/11/2021,0
04/11/2021,0
05/11/2021,0
06/11/2021,0
07/11/2021,0
08/11/2021,0
09/11/2021,2
10/11/2021,2
11/11/2022,2
12/11/2021,2
13/11/2021,0
14/11/2021,0
15/11/2021,0
16/11/2021,0
17/11/2021,0
18/11/2021,0
20/11/2021,3
21/11/2021,0
22/11/2021,0
23/11/2021,0
24/11/2021,0
25/11/2021,2
26/11/2021,3
27/11/2021,0
28/11/2021,0
29/11/2021,1
30/11/2021,3
01/12/2021,0
02/12/2021,5
03/12/2021,4
04/12/2021,3
05/12/2021,0
06/12/2021,4
07/12/2021,8
08/12/2021,2
09/12/2021,5
10/12/2021,0
11/12/2021,1
12/12/2021,1
13/12/2021,3
14/12/2021,0
15/12/2021,0
16/12/2021,0
17/12/2021,0
18/12/2021,0
19/12/2021,0
20/12/2021,0
21/12/2021,0
22/12/2021,0
23/12/2021,1
24/12/2021,3
25/12/2021,16
26/12/2021,2
27/12/2021,4
28/12/2021,6
29/12/2021,2
30/12/2021,4
31/12/2021,0
01/01/2022,3
02/01/2022,2
03/01/2022,1
04/01/2022,0
05/01/2022,0
06/01/2022,5
07/01/2022,7
08/01/2022,7
09/01/2022,1
10/01/2022,1
11/01/2022,2
12/01/2022,0
13/01/2022,0
14/01/2022,0
15/01/2022,1
16/01/2022,0
17/01/2022,0
18/01/2022,0
19/01/2022,1
20/01/2022,0
21/01/2022,0
22/01/2022,0
23/01/2022,0
24/01/2022,0
25/01/2022,0
26/01/2022,0
27/01/2022,0
28/01/2022,0
29/01/2022,0
30/01/2022,1
31/01/2022,0
01/02/2022,0
02/02/2022,0
03/02/2022,0
04/02/2022,3
05/02/2022,6
06/02/2022,2
07/02/2022,0
08/02/2022,0
09/02/2022,5
10/02/2022,0
11/02/2022,0
12/02/2022,1
13/02/2022,8
14/02/2022,1
15/02/2022,5
16/02/2022,1
17/02/2022,3
18/02/2022,1
19/02/2022,3
20/02/2022,5
21/02/2022,0
22/02/2022,2
23/02/2022,5
24/02/2022,3
25/02/2022,0
26/02/2022,0
27/02/2022,1
28/02/2022,4
01/03/2022,8
02/03/2022,2
03/03/2022,2
04/03/2022,0
05/03/2022,1
06/03/2022,0
07/03/2022,0
08/03/2022,0
09/03/2022,1
10/03/2022,0
11/03/2022,11
12/03/2022,7
13/03/2022,0
14/03/2022,0
15/03/2022,0
16/03/2022,14
17/03/2022,1
18/03/2022,0
19/03/2022,0
20/03/2022,0
21/03/2022,0
22/03/2022,0
23/03/2022,0
24/03/2022,0
