Date,Rainfall(mm)
31/3/2021, 0
1/4/2021, 0
2/4/2021, 0
3/4/2021, 0
5/4/2021, 0
6/4/2021, 1
7/4/2021, 0
8/4/2021, 0
9/4/2021, 0
10/4/2021, 2
11/4/2021, 1
12/4/2021, 2
13/4/2021, 0
14/4/2021, 0
15/4/2021, 0
16/4/2021, 0
17/4/2021, 0
19/4/2021, 0
20/4/2021, 0
21/4/2021, 0
22/4/2021, 0
23/4/2021, 0
24/4/2021, 0
25/4/2021, 0
26/4/2021, 0
27/4/2021, 9
28/4/2021, 1
29/4/2021, 0
30/4/2021, 2
1/5/2021, 1
2/5/2021, 0
3/5/2021, 2
4/5/2021, 2
5/5/2021, 0
6/5/2021, 0
7/5/2021, 6
8/5/2021, 3
9/5/2021, 2
10/5/2021, 2
11/5/2021, 2
12/5/2021, 15
13/5/2021, 7
14/5/2021, 2
15/5/2021, 5
16/5/2021, 15
17/5/2021, 1
18/5/2021, 10
19/5/2021, 1
20/5/2021, 2
21/5/2021, 4
22/5/2021, 0
23/5/2021, 10
24/5/2021, 7
25/5/2021, 5
26/5/2021, 0
27/5/2021, 0
28/5/2021, 0
29/5/2021, 0
30/5/2021, 0
31/5/2021, 0
1/6/2021, 0
2/6/2021, 0
3/6/2021, 0
4/6/2021, 
5/6/2021, 1
6/6/2021, 0
7/6/2021, 0
8/6/2021, 0
9/6/2021, 0
10/6/2021, 0
11/6/2021, 0
12/6/2021, 0
13/6/2021, 0
14/6/2021, 0
15/6/2021, 0
16/6/2021, 2
17/6/2021, 0
18/6/2021, 1
19/6/2021, 14
20/6/2021, 1
21/6/2021, 8
22/6/2021, 2
23/6/2021, 0
24/6/2021, 4
25/6/2021, 0
26/6/2021, 1
27/6/2021, 13
28/6/2021, 2
29/6/2021, 0
30/6/2021, 0
1/7/2021, 0
2/7/2021, 3
3/7/2021, 6
4/7/2021, 13
5/7/2021, 5
6/7/2021, 6
7/7/2021, 2
8/7/2021, 0
9/7/2021, 4
10/7/2021, 5
11/7/2021, 15
12/7/2021, 1
13/7/2021, 0
14/7/2021, 0
14/7/2021, 
